2026-03-10 22:07:27.801 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6598 ms
2026-03-10 22:07:28.838 INFO  [main] LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-10 22:07:29.036 INFO  [main] Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-10 22:07:29.123 INFO  [main] RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-10 22:07:29.867 INFO  [main] SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-10 22:07:29.952 INFO  [main] HikariDataSource - HikariPool-1 - Starting...
2026-03-10 22:07:30.945 INFO  [main] HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7c8a91e2
2026-03-10 22:07:30.952 INFO  [main] HikariDataSource - HikariPool-1 - Start completed.
2026-03-10 22:07:31.137 WARN  [main] deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-10 22:07:31.143 WARN  [main] deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-03-10 22:07:33.019 INFO  [main] JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-10 22:07:33.181 INFO  [main] LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-10 22:07:34.942 WARN  [main] JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-10 22:07:36.905 INFO  [main] EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-03-10 22:07:37.047 INFO  [main] Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-10 22:07:37.126 INFO  [main] TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-10 22:07:37.154 INFO  [main] AuthServiceApplication - Started AuthServiceApplication in 17.045 seconds (process running for 22.557)
2026-03-10 22:13:11.571 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 22:13:11.926 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 19192 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-03-10 22:13:11.947 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 22:13:18.511 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 22:13:18.520 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-10 22:13:19.251 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 697 ms. Found 1 JPA repository interface.
2026-03-10 22:13:19.343 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 22:13:19.352 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-10 22:13:19.437 INFO  [main] RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface FoodDelivery.auth.Restaurant.RestauarantRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-10 22:13:19.437 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2026-03-10 22:13:25.386 INFO  [main] TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-10 22:13:25.476 INFO  [main] Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-10 22:13:25.493 INFO  [main] StandardService - Starting service [Tomcat]
2026-03-10 22:13:25.501 INFO  [main] StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-10 22:13:25.894 INFO  [main] [/] - Initializing Spring embedded WebApplicationContext
2026-03-10 22:13:25.907 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 13721 ms
2026-03-10 22:13:28.399 INFO  [main] LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-10 22:13:28.801 INFO  [main] Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-10 22:13:29.074 INFO  [main] RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-10 22:13:30.151 INFO  [main] SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-10 22:13:30.280 INFO  [main] HikariDataSource - HikariPool-1 - Starting...
2026-03-10 22:13:31.848 INFO  [main] HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4e3d36c2
2026-03-10 22:13:31.854 INFO  [main] HikariDataSource - HikariPool-1 - Start completed.
2026-03-10 22:13:31.980 WARN  [main] deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-10 22:13:31.984 WARN  [main] deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-03-10 22:13:34.242 INFO  [main] JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-10 22:13:34.349 INFO  [main] LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-10 22:13:36.825 WARN  [main] JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-10 22:13:40.216 INFO  [main] EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-03-10 22:13:40.378 INFO  [main] Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-10 22:13:40.435 INFO  [main] TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-10 22:13:40.473 INFO  [main] AuthServiceApplication - Started AuthServiceApplication in 30.516 seconds (process running for 34.374)
2026-03-10 22:20:21.978 INFO  [http-nio-8081-exec-1] [/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-10 22:20:21.979 INFO  [http-nio-8081-exec-1] DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-10 22:20:21.983 INFO  [http-nio-8081-exec-1] DispatcherServlet - Completed initialization in 3 ms
2026-03-10 22:29:24.237 WARN  [http-nio-8081-exec-5] DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('\' (code 92)): was expecting double-quote to start field name]
2026-03-10 22:29:49.273 WARN  [http-nio-8081-exec-4] DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Unexpected character ('n' (code 110)): was expecting double-quote to start field name]
2026-03-10 22:31:35.563 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 22:31:35.872 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 22188 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-03-10 22:31:35.898 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
