2026-02-28 16:33:47.485 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-02-28 16:33:47.640 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 6012 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-02-28 16:33:47.653 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-28 16:33:50.046 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-28 16:33:50.054 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-02-28 16:33:50.122 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2026-02-28 16:33:51.121 INFO  [main] TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-02-28 16:33:51.144 INFO  [main] Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-02-28 16:33:51.148 INFO  [main] StandardService - Starting service [Tomcat]
2026-02-28 16:33:51.149 INFO  [main] StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-02-28 16:33:51.231 INFO  [main] [/] - Initializing Spring embedded WebApplicationContext
2026-02-28 16:33:51.234 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3450 ms
2026-02-28 16:33:53.144 INFO  [main] EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-02-28 16:33:53.234 INFO  [main] Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-02-28 16:33:53.286 INFO  [main] TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-02-28 16:33:53.304 INFO  [main] AuthServiceApplication - Started AuthServiceApplication in 6.358 seconds (process running for 8.643)
2026-02-28 16:43:58.014 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-02-28 16:43:58.155 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 5244 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-02-28 16:43:58.168 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-28 16:44:00.252 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-28 16:44:00.258 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-02-28 16:44:00.305 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2026-02-28 16:44:01.169 INFO  [main] TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-02-28 16:44:01.192 INFO  [main] Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-02-28 16:44:01.197 INFO  [main] StandardService - Starting service [Tomcat]
2026-02-28 16:44:01.197 INFO  [main] StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-02-28 16:44:01.302 INFO  [main] [/] - Initializing Spring embedded WebApplicationContext
2026-02-28 16:44:01.305 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2978 ms
2026-02-28 16:44:03.326 INFO  [main] EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-02-28 16:44:03.434 INFO  [main] Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-02-28 16:44:03.494 INFO  [main] TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-02-28 16:44:03.519 INFO  [main] AuthServiceApplication - Started AuthServiceApplication in 6.147 seconds (process running for 8.234)
2026-02-28 16:46:33.997 INFO  [http-nio-8081-exec-1] [/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-28 16:46:33.999 INFO  [http-nio-8081-exec-1] DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-28 16:46:34.004 INFO  [http-nio-8081-exec-1] DispatcherServlet - Completed initialization in 5 ms
2026-02-28 16:49:08.477 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-02-28 16:49:08.564 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 10888 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-02-28 16:49:08.571 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-28 16:49:10.310 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-28 16:49:10.315 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
